file name,distance,amp,peak,RMS
data_30cm_100Hz_10Amp_1.wav,30cm,10Amp,0.29875802993774414,0.0801931768655777
data_30cm_100Hz_10Amp_2.wav,30cm,10Amp,0.3856639862060547,0.08525776118040085
data_30cm_100Hz_10Amp_3.wav,30cm,10Amp,0.4186103940010071,0.08162703365087509
data_30cm_100Hz_20Amp_1.wav,30cm,20Amp,0.38948312401771545,0.11217862367630005
data_30cm_100Hz_20Amp_2.wav,30cm,20Amp,0.3930116891860962,0.11366376280784607
data_30cm_100Hz_20Amp_3.wav,30cm,20Amp,0.4375914931297302,0.11196257174015045
data_30cm_100Hz_5Amp_1.wav,30cm,5Amp,0.3148680329322815,0.06895114481449127
data_30cm_100Hz_5Amp_2.wav,30cm,5Amp,0.27511537075042725,0.06960811465978622
data_30cm_100Hz_5Amp_3.wav,30cm,5Amp,0.2925869822502136,0.06573882699012756
data_45cm_100Hz_10Amp_1.wav,45cm,10Amp,0.3689814805984497,0.11933420598506927
data_45cm_100Hz_10Amp_2.wav,45cm,10Amp,0.36731448769569397,0.11804233491420746
data_45cm_100Hz_10Amp_3.wav,45cm,10Amp,0.36368757486343384,0.11589106172323227
data_45cm_100Hz_20Amp_1.wav,45cm,20Amp,0.5769667625427246,0.2400408834218979
data_45cm_100Hz_20Amp_2.wav,45cm,20Amp,0.611700177192688,0.2408073991537094
data_45cm_100Hz_20Amp_3.wav,45cm,20Amp,0.5707176923751831,0.2385864108800888
data_45cm_100Hz_5Amp_1.wav,45cm,5Amp,0.2669657766819,0.0577433742582798
data_45cm_100Hz_5Amp_2.wav,45cm,5Amp,0.30635443329811096,0.06024995073676109
data_45cm_100Hz_5Amp_3.wav,45cm,5Amp,0.3346145451068878,0.05933238938450813
data_60cm_100Hz_10Amp_1.wav,60cm,10Amp,0.38992661237716675,0.11962481588125229
data_60cm_100Hz_10Amp_2.wav,60cm,10Amp,0.3933544158935547,0.12295698374509811
data_60cm_100Hz_10Amp_3.wav,60cm,10Amp,0.3594745993614197,0.12402904033660889
data_60cm_100Hz_20Amp_1.wav,60cm,20Amp,0.665929913520813,0.27595773339271545
data_60cm_100Hz_20Amp_2.wav,60cm,20Amp,0.6464203596115112,0.27547675371170044
data_60cm_100Hz_20Amp_3.wav,60cm,20Amp,0.6512575149536133,0.2846265137195587
data_60cm_100Hz_5Amp_1.wav,60cm,5Amp,0.2567422688007355,0.05254729837179184
data_60cm_100Hz_5Amp_2.wav,60cm,5Amp,0.4736625850200653,0.05025361478328705
data_60cm_100Hz_5Amp_3.wav,60cm,5Amp,0.27993035316467285,0.06005340442061424
data_75cm_100Hz_10Amp_1.wav,75cm,10Amp,0.326832115650177,0.0951463058590889
