file name,distance,amp,peak,RMS
noise_60cm_200Hz_10Amp_3.wav,60cm,10Amp,0.16528400778770447,0.04377180337905884
noise_60cm_200Hz_20Amp_1.wav,60cm,20Amp,0.15046942234039307,0.04493475332856178
noise_60cm_200Hz_20Amp_2.wav,60cm,20Amp,0.17613740265369415,0.04593418911099434
noise_60cm_200Hz_20Amp_3.wav,60cm,20Amp,0.18796131014823914,0.045020800083875656
noise_60cm_200Hz_5Amp_1.wav,60cm,5Amp,0.14837731420993805,0.04062090814113617
noise_60cm_200Hz_5Amp_2.wav,60cm,5Amp,0.16493530571460724,0.042193006724119186
noise_60cm_200Hz_5Amp_3.wav,60cm,5Amp,0.15635724365711212,0.04404313489794731
noise_75cm_200Hz_10Amp_1.wav,75cm,10Amp,0.1469060331583023,0.041746918112039566
noise_75cm_200Hz_10Amp_2.wav,75cm,10Amp,0.15099436044692993,0.04217809438705444
noise_75cm_200Hz_10Amp_3.wav,75cm,10Amp,0.16309912502765656,0.04372667521238327
noise_75cm_200Hz_20Amp_1.wav,75cm,20Amp,0.1556047797203064,0.0434173122048378
noise_75cm_200Hz_20Amp_2.wav,75cm,20Amp,0.1552748680114746,0.044700708240270615
noise_75cm_200Hz_20Amp_3.wav,75cm,20Amp,0.15576407313346863,0.04370194673538208
noise_75cm_200Hz_5Amp_1.wav,75cm,5Amp,0.13705410063266754,0.04226895049214363
noise_75cm_200Hz_5Amp_2.wav,75cm,5Amp,0.15152724087238312,0.04347715526819229
noise_75cm_200Hz_5Amp_3.wav,75cm,5Amp,0.16407322883605957,0.04116785526275635
noise_90cm_200Hz_10Amp_1.wav,90cm,10Amp,0.1680886298418045,0.04413791745901108
noise_90cm_200Hz_10Amp_2.wav,90cm,10Amp,0.1625382900238037,0.042467158287763596
noise_90cm_200Hz_10Amp_3.wav,90cm,10Amp,0.13745641708374023,0.04094867408275604
noise_90cm_200Hz_20Amp_1.wav,90cm,20Amp,0.15180270373821259,0.043214570730924606
noise_90cm_200Hz_20Amp_2.wav,90cm,20Amp,0.161662757396698,0.04412150755524635
noise_90cm_200Hz_20Amp_3.wav,90cm,20Amp,0.16404801607131958,0.04428569972515106
noise_90cm_200Hz_5Amp_1.wav,90cm,5Amp,0.1565907895565033,0.04167969152331352
noise_90cm_200Hz_5Amp_2.wav,90cm,5Amp,0.15787145495414734,0.04228826239705086
noise_90cm_200Hz_5Amp_3.wav,90cm,5Amp,0.13781386613845825,0.04220458120107651
