file name,distance,amp,peak,RMS
data_30cm_10Hz_10Amp_1.wav,30cm,10Amp,0.22836777567863464,0.05425695702433586
data_30cm_10Hz_10Amp_2.wav,30cm,10Amp,0.30248069763183594,0.0688229575753212
data_30cm_10Hz_10Amp_3.wav,30cm,10Amp,0.3007306158542633,0.06748059391975403
data_30cm_10Hz_20Amp_1.wav,30cm,20Amp,0.3477737307548523,0.07324456423521042
data_30cm_10Hz_20Amp_2.wav,30cm,20Amp,0.31122052669525146,0.07203301787376404
data_30cm_10Hz_20Amp_3.wav,30cm,20Amp,0.3663395643234253,0.08175795525312424
data_30cm_10Hz_5Amp_1.wav,30cm,5Amp,0.27159661054611206,0.055946823209524155
data_30cm_10Hz_5Amp_2.wav,30cm,5Amp,0.237873837351799,0.05507723242044449
data_30cm_10Hz_5Amp_3.wav,30cm,5Amp,0.33477646112442017,0.059229183942079544
data_45cm_10Hz_10Amp_1.wav,45cm,10Amp,0.23790010809898376,0.058863263577222824
data_45cm_10Hz_10Amp_2.wav,45cm,10Amp,0.26824936270713806,0.059145424515008926
data_45cm_10Hz_10Amp_3.wav,45cm,10Amp,0.2483828365802765,0.057815879583358765
data_45cm_10Hz_20Amp_1.wav,45cm,20Amp,0.2090182900428772,0.05795392394065857
data_45cm_10Hz_20Amp_2.wav,45cm,20Amp,0.20230576395988464,0.05674706771969795
data_45cm_10Hz_20Amp_3.wav,45cm,20Amp,0.4163111448287964,0.06559353321790695
data_45cm_10Hz_5Amp_1.wav,45cm,5Amp,0.24039849638938904,0.05501895397901535
data_45cm_10Hz_5Amp_2.wav,45cm,5Amp,0.22144454717636108,0.06098334118723869
data_45cm_10Hz_5Amp_3.wav,45cm,5Amp,0.2321036458015442,0.05732432007789612
data_60cm_10Hz_10Amp_1.wav,60cm,10Amp,0.35378021001815796,0.05795127525925636
data_60cm_10Hz_10Amp_2.wav,60cm,10Amp,0.23599867522716522,0.05157119780778885
data_60cm_10Hz_10Amp_3.wav,60cm,10Amp,0.2696113586425781,0.05424513295292854
data_60cm_10Hz_20Amp_1.wav,60cm,20Amp,0.23154523968696594,0.05440507456660271
data_60cm_10Hz_20Amp_2.wav,60cm,20Amp,0.30242741107940674,0.05718525871634483
data_60cm_10Hz_20Amp_3.wav,60cm,20Amp,0.22689591348171234,0.061134930700063705
data_60cm_10Hz_5Amp_1.wav,60cm,5Amp,0.28739652037620544,0.04977741092443466
data_60cm_10Hz_5Amp_2.wav,60cm,5Amp,0.1977517306804657,0.0556534044444561
data_60cm_10Hz_5Amp_3.wav,60cm,5Amp,0.2744813561439514,0.05085085332393646
data_75cm_10Hz_10Amp_1.wav,75cm,10Amp,0.17016035318374634,0.04374387487769127
data_75cm_10Hz_10Amp_2.wav,75cm,10Amp,0.26755401492118835,0.04829882085323334
data_75cm_10Hz_10Amp_3.wav,75cm,10Amp,0.3227294087409973,0.046957820653915405
data_75cm_10Hz_20Amp_1.wav,75cm,20Amp,0.4971177577972412,0.05309176445007324
data_75cm_10Hz_20Amp_2.wav,75cm,20Amp,0.2874611020088196,0.05691058188676834
data_75cm_10Hz_20Amp_3.wav,75cm,20Amp,0.3715621531009674,0.058841876685619354
data_75cm_10Hz_5Amp_1.wav,75cm,5Amp,0.2102879136800766,0.042756225913763046
data_75cm_10Hz_5Amp_2.wav,75cm,5Amp,0.19007666409015656,0.04817686975002289
data_75cm_10Hz_5Amp_3.wav,75cm,5Amp,0.22126469016075134,0.044065143913030624
data_90cm_10Hz_10Amp_1.wav,90cm,10Amp,0.13775557279586792,0.03315292298793793
data_90cm_10Hz_10Amp_2.wav,90cm,10Amp,0.2718128561973572,0.03352319449186325
data_90cm_10Hz_10Amp_3.wav,90cm,10Amp,0.1959853172302246,0.03371824696660042
data_90cm_10Hz_20Amp_1.wav,90cm,20Amp,0.14402331411838531,0.03460656479001045
data_90cm_10Hz_20Amp_2.wav,90cm,20Amp,0.18742558360099792,0.03413459286093712
data_90cm_10Hz_20Amp_3.wav,90cm,20Amp,0.15475350618362427,0.03479313477873802
data_90cm_10Hz_5Amp_1.wav,90cm,5Amp,0.18779805302619934,0.03600284084677696
data_90cm_10Hz_5Amp_2.wav,90cm,5Amp,0.3139427900314331,0.031655795872211456
data_90cm_10Hz_5Amp_3.wav,90cm,5Amp,0.13547545671463013,0.03385933116078377
noise_30cm_10Hz_10Amp_1.wav,30cm,10Amp,0.1752869337797165,0.05004609376192093
noise_30cm_10Hz_10Amp_2.wav,30cm,10Amp,0.1541830599308014,0.051008451730012894
noise_30cm_10Hz_10Amp_3.wav,30cm,10Amp,0.1719610095024109,0.05121563747525215
noise_30cm_10Hz_20Amp_1.wav,30cm,20Amp,0.16047650575637817,0.048962682485580444
noise_30cm_10Hz_20Amp_2.wav,30cm,20Amp,0.15817086398601532,0.05045231431722641
noise_30cm_10Hz_20Amp_3.wav,30cm,20Amp,0.1877129226922989,0.052128057926893234
noise_30cm_10Hz_5Amp_1.wav,30cm,5Amp,0.16879874467849731,0.049641553312540054
noise_30cm_10Hz_5Amp_2.wav,30cm,5Amp,0.18776291608810425,0.051193878054618835
noise_30cm_10Hz_5Amp_3.wav,30cm,5Amp,0.1681075394153595,0.05105556175112724
noise_45cm_10Hz_10Amp_1.wav,45cm,10Amp,0.16192814707756042,0.048062607645988464
noise_45cm_10Hz_10Amp_2.wav,45cm,10Amp,0.1704816073179245,0.04767056927084923
noise_45cm_10Hz_10Amp_3.wav,45cm,10Amp,0.15593788027763367,0.047603119164705276
noise_45cm_10Hz_20Amp_1.wav,45cm,20Amp,0.15735001862049103,0.04563598334789276
noise_45cm_10Hz_20Amp_2.wav,45cm,20Amp,0.29487425088882446,0.04814095050096512
noise_45cm_10Hz_20Amp_3.wav,45cm,20Amp,0.16760703921318054,0.048048604279756546
noise_45cm_10Hz_5Amp_1.wav,45cm,5Amp,0.16186031699180603,0.04504067078232765
noise_45cm_10Hz_5Amp_2.wav,45cm,5Amp,0.1540481150150299,0.04744080454111099
noise_45cm_10Hz_5Amp_3.wav,45cm,5Amp,0.16618943214416504,0.04900463670492172
noise_60cm_10Hz_10Amp_1.wav,60cm,10Amp,0.15091821551322937,0.03840692341327667
noise_60cm_10Hz_10Amp_2.wav,60cm,10Amp,0.14070695638656616,0.03894598037004471
noise_60cm_10Hz_10Amp_3.wav,60cm,10Amp,0.15551909804344177,0.03908269852399826
noise_60cm_10Hz_20Amp_1.wav,60cm,20Amp,0.13864754140377045,0.03942928835749626
noise_60cm_10Hz_20Amp_2.wav,60cm,20Amp,0.13991814851760864,0.03850594162940979
noise_60cm_10Hz_20Amp_3.wav,60cm,20Amp,0.13824355602264404,0.04015998914837837
