TIME,SAMPLES,CAVITY,WAVE_LOC,GEO_LOC,FREQ,AMP
5,2,NO,MID,NEAR,10,5
5,2,YES,FAR,FAR,100,10
5,2,NO,MID,NEAR,200,20
5,2,NO,FAR,NEAR,100,5
5,2,NO,MID,NEAR,200,10
5,2,YES,MID,FAR,100,20
5,2,NO,MID,FAR,200,5
5,2,NO,FAR,NEAR,100,10
5,2,NO,FAR,NEAR,200,20
5,2,NO,MID,FAR,10,5
